Timestamp, Premade Voltage, Actual Sent Voltage, Premade Velocity, Actual Velocity
02/07/2020 10:57:51.459, -0.1210031, -0.1210031,-0.854282,0.2135029
02/07/2020 10:57:51.471, -0.193631, -0.193631,-1.367035,0.03904973
02/07/2020 10:57:51.481, -0.273771, -0.273771,-1.932823,0.1996066
02/07/2020 10:57:51.492, -0.3563827, -0.3563827,-2.516062,-0.3320135
02/07/2020 10:57:51.503, -0.4380938, -0.4380938,-3.092942,-0.3532527
02/07/2020 10:57:51.515, -0.5178744, -0.5178744,-3.656193,-0.5556471
02/07/2020 10:57:51.525, -0.5961194, -0.5961194,-4.208603,-0.5456027
02/07/2020 10:57:51.537, -0.6740028, -0.6740028,-4.75846,-1.1136
02/07/2020 10:57:51.547, -0.7532251, -0.7532251,-5.317769,-1.382459
02/07/2020 10:57:51.558, -0.8328956, -0.8328956,-5.880243,-2.115292
02/07/2020 10:57:51.570, -0.9147853, -0.9147853,-6.458384,-2.826499
02/07/2020 10:57:51.582, -0.9988638, -0.9988638,-7.051978,-3.831744
02/07/2020 10:57:51.592, -1.085135, -1.085135,-7.66105,-4.241398
02/07/2020 10:57:51.604, -1.173503, -1.173503,-8.284934,-5.111839
02/07/2020 10:57:51.614, -1.263726, -1.263726,-8.921903,-5.689587
02/07/2020 10:57:51.625, -1.355558, -1.355558,-9.570239,-6.297926
02/07/2020 10:57:51.637, -1.448663, -1.448663,-10.22756,-6.846373
02/07/2020 10:57:51.648, -1.542572, -1.542572,-10.89056,-7.57265
02/07/2020 10:57:51.660, -1.636818, -1.636818,-11.55594,-7.886989
02/07/2020 10:57:51.670, -1.730843, -1.730843,-12.21975,-8.556381
02/07/2020 10:57:51.681, -1.824084, -1.824084,-12.87803,-8.980807
02/07/2020 10:57:51.692, -1.915965, -1.915965,-13.52672,-9.249098
02/07/2020 10:57:51.703, -2.005829, -2.005829,-14.16115,-9.992076
02/07/2020 10:57:51.715, -2.093192, -2.093192,-14.77793,-10.21653
02/07/2020 10:57:51.726, -2.177548, -2.177548,-15.37349,-10.82141
02/07/2020 10:57:51.736, -2.2583, -2.2583,-15.9436,-11.31659
02/07/2020 10:57:51.747, -2.335226, -2.335226,-16.48669,-12.0786
02/07/2020 10:57:51.758, -2.408051, -2.408051,-17.00084,-12.60356
02/07/2020 10:57:51.769, -2.476398, -2.476398,-17.48337,-13.30052
02/07/2020 10:57:51.780, -2.540371, -2.540371,-17.93502,-13.85693
02/07/2020 10:57:51.792, -2.599996, -2.599996,-18.35597,-14.1936
02/07/2020 10:57:51.803, -2.655229, -2.655229,-18.74591,-14.81399
02/07/2020 10:57:51.814, -2.706432, -2.706432,-19.10741,-14.88266
02/07/2020 10:57:51.826, -2.753909, -2.753909,-19.4426,-15.32355
02/07/2020 10:57:51.837, -2.797892, -2.797892,-19.75312,-16.03092
02/07/2020 10:57:51.848, -2.838889, -2.838889,-20.04255,-16.6542
02/07/2020 10:57:51.859, -2.877357, -2.877357,-20.31414,-16.56534
02/07/2020 10:57:51.870, -2.913675, -2.913675,-20.57054,-16.86015
02/07/2020 10:57:51.881, -2.948338, -2.948338,-20.81527,-17.24641
02/07/2020 10:57:51.892, -2.981782, -2.981782,-21.05138,-16.87315
02/07/2020 10:57:51.903, -3.014365, -3.014365,-21.28141,-16.99551
02/07/2020 10:57:51.914, -3.046456, -3.046456,-21.50798,-17.32048
02/07/2020 10:57:51.926, -3.078339, -3.078339,-21.73307,-17.36821
02/07/2020 10:57:51.937, -3.110225, -3.110225,-21.95819,-17.9581
02/07/2020 10:57:51.947, -3.142242, -3.142242,-22.18423,-18.15833
02/07/2020 10:57:51.958, -3.174431, -3.174431,-22.41148,-17.77979
02/07/2020 10:57:51.969, -3.206753, -3.206753,-22.63968,-18.12468
02/07/2020 10:57:51.980, -3.239075, -3.239075,-22.86787,-18.79484
02/07/2020 10:57:51.993, -3.271191, -3.271191,-23.09461,-18.51175
02/07/2020 10:57:52.004, -3.302807, -3.302807,-23.31782,-18.61926
02/07/2020 10:57:52.014, -3.333532, -3.333532,-23.53474,-19.41236
02/07/2020 10:57:52.025, -3.362974, -3.362974,-23.74259,-19.35815
02/07/2020 10:57:52.037, -3.390645, -3.390645,-23.93795,-19.45652
02/07/2020 10:57:52.048, -3.415976, -3.415976,-24.11679,-19.5823
02/07/2020 10:57:52.058, -3.438511, -3.438511,-24.27589,-19.90422
02/07/2020 10:57:52.069, -3.457706, -3.457706,-24.4114,-19.76339
02/07/2020 10:57:52.080, -3.472921, -3.472921,-24.51882,-19.81025
02/07/2020 10:57:52.092, -3.483822, -3.483822,-24.59578,-19.93096
02/07/2020 10:57:52.103, -3.489978, -3.489978,-24.63924,-20.29124
02/07/2020 10:57:52.114, -3.490849, -3.490849,-24.64539,-20.35935
02/07/2020 10:57:52.125, -3.486377, -3.486377,-24.61382,-20.7907
02/07/2020 10:57:52.136, -3.476398, -3.476398,-24.54337,-20.90041
02/07/2020 10:57:52.147, -3.4606, -3.4606,-24.43184,-20.73131
02/07/2020 10:57:52.158, -3.439288, -3.439288,-24.28138,-20.63807
02/07/2020 10:57:52.169, -3.412624, -3.412624,-24.09312,-20.56947
02/07/2020 10:57:52.181, -3.38067, -3.38067,-23.86753,-20.63468
02/07/2020 10:57:52.192, -3.34401, -3.34401,-23.60871,-20.57905
02/07/2020 10:57:52.203, -3.30311, -3.30311,-23.31996,-20.58427
02/07/2020 10:57:52.214, -3.258367, -3.258367,-23.00407,-20.41292
02/07/2020 10:57:52.225, -3.210514, -3.210514,-22.66623,-19.92559
02/07/2020 10:57:52.236, -3.160205, -3.160205,-22.31104,-19.83403
02/07/2020 10:57:52.247, -3.108055, -3.108055,-21.94287,-19.60433
02/07/2020 10:57:52.258, -3.054816, -3.054816,-21.567,-19.31197
02/07/2020 10:57:52.270, -3.001151, -3.001151,-21.18813,-19.22872
02/07/2020 10:57:52.281, -2.947712, -2.947712,-20.81085,-19.22577
02/07/2020 10:57:52.292, -2.895122, -2.895122,-20.43956,-18.55798
02/07/2020 10:57:52.303, -2.843912, -2.843912,-20.07802,-17.9984
02/07/2020 10:57:52.314, -2.794627, -2.794627,-19.73007,-17.90115
02/07/2020 10:57:52.325, -2.747695, -2.747695,-19.39873,-17.03982
02/07/2020 10:57:52.337, -2.703423, -2.703423,-19.08616,-16.27849
02/07/2020 10:57:52.347, -2.66216, -2.66216,-18.79485,-16.30681
02/07/2020 10:57:52.358, -2.624134, -2.624134,-18.52639,-16.05119
02/07/2020 10:57:52.369, -2.589416, -2.589416,-18.28128,-15.97794
02/07/2020 10:57:52.380, -2.558147, -2.558147,-18.06052,-15.82688
02/07/2020 10:57:52.392, -2.530371, -2.530371,-17.86442,-15.97542
02/07/2020 10:57:52.403, -2.505957, -2.505957,-17.69206,-15.3357
02/07/2020 10:57:52.414, -2.484872, -2.484872,-17.54319,-14.78516
02/07/2020 10:57:52.425, -2.467033, -2.467033,-17.41725,-14.07445
02/07/2020 10:57:52.437, -2.452195, -2.452195,-17.3125,-14.10245
02/07/2020 10:57:52.448, -2.440265, -2.440265,-17.22827,-13.99389
02/07/2020 10:57:52.458, -2.431097, -2.431097,-17.16355,-14.11526
02/07/2020 10:57:52.469, -2.424411, -2.424411,-17.11634,-14.56026
02/07/2020 10:57:52.480, -2.420111, -2.420111,-17.08599,-14.35551
02/07/2020 10:57:52.491, -2.418129, -2.418129,-17.07199,-14.73504
02/07/2020 10:57:52.503, -2.41826, -2.41826,-17.07291,-14.41253
02/07/2020 10:57:52.514, -2.420425, -2.420425,-17.0882,-15.0402
02/07/2020 10:57:52.525, -2.424623, -2.424623,-17.11784,-15.77044
02/07/2020 10:57:52.536, -2.43069, -2.43069,-17.16067,-15.99736
02/07/2020 10:57:52.547, -2.438519, -2.438519,-17.21594,-16.34319
02/07/2020 10:57:52.558, -2.448115, -2.448115,-17.28369,-16.64808
02/07/2020 10:57:52.569, -2.45927, -2.45927,-17.36244,-16.35636
02/07/2020 10:57:52.581, -2.471813, -2.471813,-17.451,-15.72752
02/07/2020 10:57:52.592, -2.485568, -2.485568,-17.54811,-16.0876
02/07/2020 10:57:52.602, -2.500169, -2.500169,-17.65119,-15.38515
02/07/2020 10:57:52.614, -2.515275, -2.515275,-17.75784,-15.76621
02/07/2020 10:57:52.625, -2.530449, -2.530449,-17.86497,-15.79006
02/07/2020 10:57:52.636, -2.545135, -2.545135,-17.96865,-16.15481
02/07/2020 10:57:52.647, -2.558754, -2.558754,-18.0648,-16.06284
02/07/2020 10:57:52.658, -2.570633, -2.570633,-18.14867,-16.37634
02/07/2020 10:57:52.669, -2.580147, -2.580147,-18.21583,-16.53378
02/07/2020 10:57:52.680, -2.586635, -2.586635,-18.26164,-16.21253
02/07/2020 10:57:52.692, -2.589327, -2.589327,-18.28065,-16.21765
02/07/2020 10:57:52.702, -2.587651, -2.587651,-18.26881,-16.85393
02/07/2020 10:57:52.714, -2.581076, -2.581076,-18.22239,-17.18256
02/07/2020 10:57:52.726, -2.568926, -2.568926,-18.13662,-16.58965
02/07/2020 10:57:52.737, -2.550758, -2.550758,-18.00835,-16.75128
02/07/2020 10:57:52.747, -2.526355, -2.526355,-17.83606,-16.54877
02/07/2020 10:57:52.758, -2.495246, -2.495246,-17.61644,-16.20545
02/07/2020 10:57:52.769, -2.457159, -2.457159,-17.34754,-15.7421
02/07/2020 10:57:52.780, -2.412135, -2.412135,-17.02967,-15.64237
02/07/2020 10:57:52.791, -2.359972, -2.359972,-16.6614,-16.04675
02/07/2020 10:57:52.803, -2.300556, -2.300556,-16.24192,-15.35028
02/07/2020 10:57:52.813, -2.234149, -2.234149,-15.77309,-15.20532
02/07/2020 10:57:52.825, -2.160794, -2.160794,-15.25521,-14.65559
02/07/2020 10:57:52.836, -2.080591, -2.080591,-14.68898,-15.13122
02/07/2020 10:57:52.847, -1.994027, -1.994027,-14.07783,-14.20151
02/07/2020 10:57:52.858, -1.901434, -1.901434,-13.42413,-14.2512
02/07/2020 10:57:52.869, -1.803166, -1.803166,-12.73035,-13.5726
02/07/2020 10:57:52.880, -1.700045, -1.700045,-12.00232,-13.1297
02/07/2020 10:57:52.891, -1.592776, -1.592776,-11.245,-12.14992
