Voltage Input (Ideal), Timestamp, Velocity Output, Control Input, Error
0.1487402, 07/18/2019 12:27:45.169, 4.317169, -179.6598, -4.559474
0.1159528, 07/18/2019 12:27:45.183, 3.763046, -179.8944, -4.201216
0.08886898, 07/18/2019 12:27:45.197, 3.097115, -180.0429, -3.674177
0.06686813, 07/18/2019 12:27:45.211, 2.956009, -180.11, -3.030246
0.04948669, 07/18/2019 12:27:45.228, 2.632256, -180.3052, -2.906522
0.03586771, 07/18/2019 12:27:45.242, 2.20768, -180.4267, -2.596388
0.02540807, 07/18/2019 12:27:45.257, 1.728516, -180.4882, -2.182272
0.01764363, 07/18/2019 12:27:45.272, 1.343307, -180.4975, -1.710872
0.01194901, 07/18/2019 12:27:45.285, 1.059723, -180.5013, -1.331358
0.007864589, 07/18/2019 12:27:45.300, 0.5382156, -180.5098, -1.051858
0.005046742, 07/18/2019 12:27:45.315, 0.6547165, -180.4141, -0.5331689
0.003147309, 07/18/2019 12:27:45.331, 0.4879761, -180.4966, -0.6515692
0.001897592, 07/18/2019 12:27:45.348, 0.1796722, -180.4909, -0.4860785
0.001105949, 07/18/2019 12:27:45.367, 0.1993561, -180.4234, -0.1785663
0.000614306, 07/18/2019 12:27:45.384, 0.08491516, -180.4444, -0.1987418
0.0003171388, 07/18/2019 12:27:45.400, 0.1843643, -180.4207, -0.08459802
0.0001471671, 07/18/2019 12:27:45.418, -0.09189606, -180.4616, -0.1842172
5.467422E-05, 07/18/2019 12:27:45.435, 0.1120377, -180.3812, 0.09195073
1.048159E-05, 07/18/2019 12:27:45.453, 0.198555, -180.444, -0.1120272
0, 07/18/2019 12:27:45.470, -0.06946564, -180.4825, -0.198555
0, 07/18/2019 12:27:45.492, 0.1321793, -180.4061, 0.06946564
0, 07/18/2019 12:27:45.505, 0.1406479, -180.4698, -0.1321793
0, 07/18/2019 12:27:45.524, 0.1565552, -180.4831, -0.1406479
0, 07/18/2019 12:27:45.541, 0.02861023, -180.4996, -0.1565552
0, 07/18/2019 12:27:45.559, -0.06774902, -180.468, -0.02861023
0, 07/18/2019 12:27:45.575, -0.02998352, -180.4371, 0.06774902
0, 07/18/2019 12:27:45.593, -0.1304626, -180.4447, 0.02998352
0, 07/18/2019 12:27:45.607, -0.03833771, -180.4079, 0.1304626
0, 07/18/2019 12:27:45.622, -0.05172729, -180.4293, 0.03833771
0, 07/18/2019 12:27:45.639, -0.1937485, -180.4217, 0.05172729
0, 07/18/2019 12:27:45.653, -0.2540588, -180.3689, 0.1937485
0, 07/18/2019 12:27:45.669, -0.1104355, -180.3329, 0.2540588
0, 07/18/2019 12:27:45.685, -0.0002288818, -180.3623, 0.1104355
0, 07/18/2019 12:27:45.703, 0.004348755, -180.3915, 0.0002288818
0, 07/18/2019 12:27:45.722, -0.09326935, -180.3931, -0.004348755
0, 07/18/2019 12:27:45.739, -0.0002288818, -180.3599, 0.09326935
0, 07/18/2019 12:27:45.753, 0.126915, -180.3845, 0.0002288818
0, 07/18/2019 12:27:45.769, 0.1131821, -180.4282, -0.126915
0.0008535411, 07/18/2019 12:27:45.784, -0.009498596, -180.4331, -0.1123285
0.002201416, 07/18/2019 12:27:45.799, -0.140419, -180.3993, 0.01170001
0.004688243, 07/18/2019 12:27:45.817, -0.1625061, -180.3526, 0.1451073
0.008606657, 07/18/2019 12:27:45.830, -0.194664, -180.3323, 0.1711128
0.0136238, 07/18/2019 12:27:45.845, 0.02025604, -180.3061, 0.2082878
0.01686388, 07/18/2019 12:27:45.861, -0.001029968, -180.3625, -0.003392162
0.01629901, 07/18/2019 12:27:45.880, 0.02700806, -180.3556, 0.01732898
0.005815156, 07/18/2019 12:27:45.891, -0.1033401, -180.3675, -0.0211929
-0.01927281, 07/18/2019 12:27:45.907, 0.3381729, -180.333, 0.08406734
