Voltage Input (Ideal), Timestamp, Velocity Output, Control Input, Error
0.000386, 07/18/2019 02:07:24.872, 0.6238174, 0.02839322, -0.6122735
7.4E-05, 07/18/2019 02:07:24.884, 0.5657959, 0.009242514, -0.6237434
0, 07/18/2019 02:07:24.899, 0.3765106, 0.01247012, -0.5657959
0, 07/18/2019 02:07:24.915, 0.266819, 0.03661486, -0.3765106
0, 07/18/2019 02:07:24.928, 0.2444458, 0.03414456, -0.266819
0, 07/18/2019 02:07:24.943, 0.09836197, 0.02347727, -0.2444458
0, 07/18/2019 02:07:24.958, -0.009326935, 0.04739683, -0.09836197
0, 07/18/2019 02:07:24.974, -0.0668335, 0.05325809, 0.009326935
0, 07/18/2019 02:07:24.991, 0.1033974, 0.05437228, 0.0668335
0, 07/18/2019 02:07:25.004, 0.1200485, 0.01463442, -0.1033974
0, 07/18/2019 02:07:25.017, 0.2328873, 0.0267392, -0.1200485
0, 07/18/2019 02:07:25.033, 0.1610184, 0.003326399, -0.2328873
0, 07/18/2019 02:07:25.047, 0.2970314, 0.02580075, -0.1610184
0, 07/18/2019 02:07:25.061, 0.3654671, -0.01194541, -0.2970314
0, 07/18/2019 02:07:25.077, 0.2540588, -0.01699064, -0.3654671
0, 07/18/2019 02:07:25.091, 0.1954079, 0.007044475, -0.2540588
0, 07/18/2019 02:07:25.108, 0.09304047, 0.003863377, -0.1954079
0, 07/18/2019 02:07:25.120, 0.2468491, 0.01591272, -0.09304047
0, 07/18/2019 02:07:25.134, 0.05767822, -0.02749351, -0.2468491
0, 07/18/2019 02:07:25.151, 0.01241684, 0.02300498, -0.05767822
0, 07/18/2019 02:07:25.164, 0.03313065, 0.01233126, -0.01241684
0.006026, 07/18/2019 02:07:25.179, -0.01161575, 0.004553519, -0.02710465
0.015542, 07/18/2019 02:07:25.193, 0.03141403, 0.01676154, 0.02715775
0.033099, 07/18/2019 02:07:25.208, -0.001773834, 0.006483743, 0.001684967
0.060763, 07/18/2019 02:07:25.221, 0.08914948, 0.02158778, 0.06253684
0.096184, 07/18/2019 02:07:25.236, 0.03879547, 0.005030559, 0.007034525
0.119059, 07/18/2019 02:07:25.250, -0.0595665, 0.02579044, 0.08026353
0.115071, 07/18/2019 02:07:25.264, 0.0917244, 0.03907652, 0.1746375
0.041055, 07/18/2019 02:07:25.279, 0.03330231, -0.01399907, -0.05066939
-0.136066, 07/18/2019 02:07:25.295, -0.03341675, -0.01648945, -0.1693683
-0.434384, 07/18/2019 02:07:25.308, 0.01842499, -0.05480845, -0.4009672
-0.854282, 07/18/2019 02:07:25.322, 0.02277374, -0.1347689, -0.872707
-1.367035, 07/18/2019 02:07:25.336, 0.1798439, -0.2072915, -1.389809
-1.932823, 07/18/2019 02:07:25.350, 0.112381, -0.3256993, -2.112667
-2.516062, 07/18/2019 02:07:25.380, -0.1096344, -0.3922005, -2.628443
-3.092942, 07/18/2019 02:07:25.389, -0.1171875, -0.4546335, -2.983308
-3.656193, 07/18/2019 02:07:25.400, -0.2879906, -0.5801723, -3.539006
-4.208603, 07/18/2019 02:07:25.410, -0.4694366, -0.6584455, -3.920612
-4.75846, 07/18/2019 02:07:25.425, -0.7069588, -0.7575752, -4.289023
-5.317769, 07/18/2019 02:07:25.439, -1.299191, -0.8542628, -4.61081
-5.880243, 07/18/2019 02:07:25.453, -1.777954, -0.8884575, -4.581052
-6.458384, 07/18/2019 02:07:25.467, -2.455158, -0.9841657, -4.68043
-7.051978, 07/18/2019 02:07:25.481, -3.412628, -1.030807, -4.59682
-7.66105, 07/18/2019 02:07:25.495, -4.170971, -1.04014, -4.248422
-8.284934, 07/18/2019 02:07:25.510, -5.507641, -1.114647, -4.113963
-8.921903, 07/18/2019 02:07:25.523, -6.085625, -1.049267, -3.414262
-9.570239, 07/18/2019 02:07:25.540, -6.438732, -1.188129, -3.484614
-10.22756, 07/18/2019 02:07:25.554, -7.276554, -1.298556, -3.788826
-10.89056, 07/18/2019 02:07:25.565, -7.592354, -1.291732, -3.614007
-11.55594, 07/18/2019 02:07:25.579, -8.017445, -1.438239, -3.963582
-12.21975, 07/18/2019 02:07:25.596, -7.99839, -1.514615, -4.202308
-12.87803, 07/18/2019 02:07:25.611, -8.89864, -1.6961, -4.879642
-13.52672, 07/18/2019 02:07:25.626, -9.500256, -1.653098, -4.628077
-14.16115, 07/18/2019 02:07:25.642, -10.21648, -1.758224, -4.660899
-14.77793, 07/18/2019 02:07:25.657, -10.68346, -1.80801, -4.56145
-15.37349, 07/18/2019 02:07:25.675, -12.31997, -1.916437, -4.690028
-15.9436, 07/18/2019 02:07:25.690, -13.37448, -1.758247, -3.623631
-16.48669, 07/18/2019 02:07:25.706, -13.51313, -1.817776, -3.112211
-17.00084, 07/18/2019 02:07:25.721, -14.29041, -1.995625, -3.487711
-17.48337, 07/18/2019 02:07:25.736, -14.8292, -1.95221, -3.192965
-17.93502, 07/18/2019 02:07:25.751, -15.91227, -2.014384, -3.105824
-18.35597, 07/18/2019 02:07:25.766, -15.01265, -1.936053, -2.443703
-18.74591, 07/18/2019 02:07:25.780, -15.26739, -2.306457, -3.733269
-19.10741, 07/18/2019 02:07:25.793, -15.15844, -2.257316, -3.840015
-19.4426, 07/18/2019 02:07:25.808, -14.98152, -2.398449, -4.284157
-19.75312, 07/18/2019 02:07:25.822, -14.77381, -2.521481, -4.771599
-20.04255, 07/18/2019 02:07:25.836, -14.46087, -2.649835, -5.268747
-20.31414, 07/18/2019 02:07:25.850, -15.35734, -2.803016, -5.85327
-20.57054, 07/18/2019 02:07:25.865, -16.2327, -2.704864, -5.213202
-20.81527, 07/18/2019 02:07:25.880, -16.81349, -2.721991, -4.582567
-21.05138, 07/18/2019 02:07:25.893, -18.47975, -2.787004, -4.23789
-21.28141, 07/18/2019 02:07:25.908, -18.82318, -2.593356, -2.801666
-21.50798, 07/18/2019 02:07:25.923, -20.25513, -2.758305, -2.684792
-21.73307, 07/18/2019 02:07:25.938, -20.85331, -2.564344, -1.477943
-21.95819, 07/18/2019 02:07:25.953, -21.45035, -2.63262, -1.104881
-22.18423, 07/18/2019 02:07:25.967, -21.61526, -2.611388, -0.7338829
-22.41148, 07/18/2019 02:07:25.983, -21.6168, -2.673181, -0.7962265
-22.63968, 07/18/2019 02:07:25.997, -22.81769, -2.726053, -1.022873
-22.86787, 07/18/2019 02:07:26.014, -21.37047, -2.519382, -0.05018425
-23.09461, 07/18/2019 02:07:26.028, -21.68701, -2.962349, -1.72414
-23.31782, 07/18/2019 02:07:26.042, -20.48504, -2.80163, -1.630804
-23.53474, 07/18/2019 02:07:26.057, -21.62373, -3.128462, -3.0497
-23.74259, 07/18/2019 02:07:26.071, -20.73566, -2.842196, -2.118868
-23.93795, 07/18/2019 02:07:26.087, -21.23463, -3.192182, -3.202286
-24.11679, 07/18/2019 02:07:26.101, -22.67836, -3.067688, -2.882162
-24.27589, 07/18/2019 02:07:26.115, -21.92802, -2.881339, -1.59753
-24.4114, 07/18/2019 02:07:26.129, -21.98479, -3.218145, -2.483377
-24.51882, 07/18/2019 02:07:26.144, -23.09607, -3.178449, -2.534037
-24.59578, 07/18/2019 02:07:26.158, -23.7973, -3.00069, -1.499716
-24.63924, 07/18/2019 02:07:26.173, -23.47704, -2.993388, -0.8419418
-24.64539, 07/18/2019 02:07:26.187, -22.899, -3.140079, -1.168352
-24.61382, 07/18/2019 02:07:26.200, -22.75583, -3.237952, -1.714821
-24.54337, 07/18/2019 02:07:26.216, -25.01192, -3.224873, -1.787535
-24.43184, 07/18/2019 02:07:26.230, -23.0761, -2.759016, 0.5800858
-24.28138, 07/18/2019 02:07:26.247, -24.10812, -3.355551, -1.20528
-24.09312, 07/18/2019 02:07:26.260, -24.23595, -2.943741, 0.01499939
-23.86753, 07/18/2019 02:07:26.275, -24.02727, -2.993852, 0.3684273
-23.60871, 07/18/2019 02:07:26.289, -24.63707, -3.013358, 0.4185581
-23.31996, 07/18/2019 02:07:26.304, -23.94791, -2.827085, 1.317112
-23.00407, 07/18/2019 02:07:26.318, -24.4412, -2.973615, 0.9438362
-22.66623, 07/18/2019 02:07:26.332, -24.058, -2.750234, 1.774975
-22.31104, 07/18/2019 02:07:26.346, -22.79892, -2.811768, 1.746954
-21.94287, 07/18/2019 02:07:26.360, -23.77653, -2.964531, 0.8560486
-21.567, 07/18/2019 02:07:26.375, -23.51034, -2.582975, 2.209532
-21.18813, 07/18/2019 02:07:26.391, -23.04554, -2.661379, 2.322216
-20.81085, 07/18/2019 02:07:26.407, -22.74988, -2.654091, 2.234692
-20.43956, 07/18/2019 02:07:26.421, -22.50029, -2.594462, 2.310324
-20.07802, 07/18/2019 02:07:26.437, -23.25771, -2.542621, 2.422266
-19.73007, 07/18/2019 02:07:26.451, -22.66302, -2.288445, 3.527645
-19.39873, 07/18/2019 02:07:26.467, -22.02066, -2.398349, 3.264292
-19.08616, 07/18/2019 02:07:26.484, -22.22019, -2.388097, 2.934502
-18.79485, 07/18/2019 02:07:26.497, -21.43559, -2.207648, 3.425344
-18.52639, 07/18/2019 02:07:26.512, -21.19497, -2.309189, 2.909199
-18.28128, 07/18/2019 02:07:26.527, -20.64709, -2.210336, 2.913694
-18.06052, 07/18/2019 02:07:26.542, -19.67422, -2.232068, 2.586567
-17.86442, 07/18/2019 02:07:26.555, -20.24025, -2.317969, 1.809803
-17.69206, 07/18/2019 02:07:26.570, -18.19759, -2.05932, 2.548191
-17.54319, 07/18/2019 02:07:26.585, -18.81689, -2.482866, 0.6543999
