World Time ,Experiment Time ,Trial# , SteamVR X ,SteamVR Y ,SteamVR Z , SteamVR Velocity, OptiTrack Rigidbody X,OptiTrack Rigidbody Y,OptiTrack Rigidbody Z, OptiTrack Rigidbody Velocity
8/7/2020 2:40:52 PM,2452.368,1,-3.415094E-06,4.695755E-06,-3.415094E-06,-2.590411E-05,291.8035,221.8647,163.2401,0.1712963
8/7/2020 2:40:52 PM,2452.374,1,-3.415094E-06,4.695755E-06,-3.415094E-06,-2.590411E-05,291.8043,221.8673,163.243,0.08425926
8/7/2020 2:40:52 PM,2452.38,1,-3.415094E-06,4.695755E-06,-3.415094E-06,-2.515867E-05,291.8068,221.8598,163.2487,0.1636691
8/7/2020 2:40:52 PM,2452.385,1,1.113194E-13,2.988208E-06,-4.268869E-06,-7.547602E-05,291.8063,221.8648,163.2424,0.0948741
8/7/2020 2:40:52 PM,2452.391,1,1.113194E-13,2.988208E-06,-4.268869E-06,-7.49369E-05,291.8037,221.8669,163.2419,0.1245536
8/7/2020 2:40:52 PM,2452.397,1,1.113194E-13,2.988208E-06,-4.268869E-06,-5.877405E-05,291.8059,221.8591,163.2489,-0.1906513
8/7/2020 2:40:52 PM,2452.403,1,1.113194E-13,2.988208E-06,-4.268869E-06,-5.877405E-05,291.8034,221.8635,163.2447,-0.1313025
8/7/2020 2:40:52 PM,2452.409,1,9.541664E-15,4.268868E-07,-2.561321E-06,-0.0001469352,291.8069,221.8592,163.2477,-0.0210084
8/7/2020 2:40:52 PM,2452.415,1,9.541664E-15,4.268868E-07,-2.561321E-06,-8.529408E-05,291.8036,221.8607,163.2487,-0.1346545
8/7/2020 2:40:52 PM,2452.42,1,9.541664E-15,4.268868E-07,-2.561321E-06,-8.890824E-05,291.8027,221.8622,163.2467,-0.1636652
8/7/2020 2:40:52 PM,2452.428,1,-1.908333E-14,-8.537735E-07,-2.561321E-06,-0.0001239115,291.8089,221.8598,163.249,0.02362205
8/7/2020 2:40:52 PM,2452.434,1,-1.908333E-14,-8.537735E-07,-2.561321E-06,-0.0001239115,291.8011,221.862,163.2461,-0.04822835
8/7/2020 2:40:52 PM,2452.439,1,-1.908333E-14,-8.537735E-07,-2.561321E-06,-4.264703E-05,291.811,221.8643,163.2438,0.1686992
8/7/2020 2:40:52 PM,2452.445,1,9.541663E-15,4.268868E-07,-2.561321E-06,-1.892932E-12,291.7905,221.8824,163.2248,0.7230691
8/7/2020 2:40:52 PM,2452.451,1,9.541663E-15,4.268868E-07,-2.561321E-06,-1.833312E-12,291.8045,221.8576,163.2506,-0.1486221
8/7/2020 2:40:52 PM,2452.456,1,9.541663E-15,4.268868E-07,-2.561321E-06,4.561378E-05,291.802,221.8578,163.2514,-0.07282609
8/7/2020 2:40:52 PM,2452.461,1,9.541663E-15,4.268868E-07,-2.561321E-06,4.768713E-05,291.8065,221.86,163.2466,-0.07272727
8/7/2020 2:40:52 PM,2452.467,1,1.908333E-14,8.537737E-07,-2.561321E-06,6.081838E-05,291.8043,221.8641,163.2453,-0.006521739
8/7/2020 2:40:52 PM,2452.472,1,1.908333E-14,8.537737E-07,-2.561321E-06,1.589572E-05,291.8027,221.8651,163.2447,-0.6465909
8/7/2020 2:40:52 PM,2452.478,1,1.908333E-14,8.537737E-07,-2.561321E-06,1.575251E-05,291.8055,221.8716,163.2355,0.517455
8/7/2020 2:40:52 PM,2452.484,1,1.908333E-14,8.537737E-07,-2.561321E-06,1.533797E-05,291.8063,221.8571,163.2501,-0.02576754
8/7/2020 2:40:52 PM,2452.49,1,-2.862499E-14,-1.28066E-06,-2.561321E-06,-5.877406E-05,291.8107,221.8572,163.2525,-0.09663866
8/7/2020 2:40:52 PM,2452.495,1,-2.862499E-14,-1.28066E-06,-2.561321E-06,-7.602297E-05,291.8079,221.8614,163.2487,-0.09673913
8/7/2020 2:40:52 PM,2452.501,1,-2.862499E-14,-1.28066E-06,-2.561321E-06,-7.346758E-05,291.8031,221.857,163.2501,-0.2783614
8/7/2020 2:40:52 PM,2452.508,1,-2.544444E-14,-1.707547E-06,-1.707547E-06,-8.529407E-05,291.8088,221.8732,163.2335,0.05132114
8/7/2020 2:40:52 PM,2452.521,1,-2.544444E-14,-1.707547E-06,-1.707547E-06,-6.902086E-05,291.8023,221.8675,163.2396,0.2800165
8/7/2020 2:40:52 PM,2452.529,1,-1.908333E-14,-1.280661E-06,-1.707547E-06,-2.910383E-12,291.8056,221.8725,163.2353,0.3910156
8/7/2020 2:40:52 PM,2452.534,1,-1.908333E-14,-1.280661E-06,-1.707547E-06,-2.928687E-12,291.8056,221.8725,163.2353,0.2865566
8/7/2020 2:40:52 PM,2452.539,1,-1.908333E-14,-1.280661E-06,-1.707547E-06,-2.985008E-12,291.8057,221.8596,163.2498,0.06850962
8/7/2020 2:40:52 PM,2452.546,1,-3.415094E-06,-1.28066E-06,-2.56132E-06,1.128084E-05,291.7906,221.8725,163.2347,-0.01895161
8/7/2020 2:40:52 PM,2452.552,1,-3.415094E-06,-1.28066E-06,-2.56132E-06,1.376795E-05,291.8047,221.8666,163.2407,-0.02903543
8/7/2020 2:40:52 PM,2452.557,1,-3.415094E-06,-1.28066E-06,-2.56132E-06,1.633899E-11,291.8029,221.8607,163.2477,-0.4221491
8/7/2020 2:40:52 PM,2452.563,1,-3.415094E-06,-1.28066E-06,-2.56132E-06,1.565248E-11,291.7994,221.8647,163.2429,-0.2678571
